Date,Close,High,Low,Open,Volume
2012-05-18,37.93232345581055,44.649609624651944,37.70411479415053,41.72257890337034,573576400
2012-05-21,33.76502990722656,36.3745529135857,32.74305104049431,36.24556407696098,168192700
2012-05-22,30.75862693786621,33.32846075923613,30.69909464143418,32.3560917166901,101786600
2012-05-23,31.750835418701172,32.24694222211838,31.115819315926274,31.12574167909429,73600000
2012-05-24,32.77281951904297,32.95141829993654,31.522631837783123,32.693444385865355,50237200
2012-05-25,31.661537170410156,32.69344026667106,30.867767013668946,32.643830341561234,37149800
2012-05-29,28.615440368652344,31.443249506485007,28.426919254797564,31.234883666435564,78063400
2012-05-30,27.970500946044922,29.319910108453612,27.64307054507478,28.476530091634626,57267900
2012-05-31,29.369524002075195,29.438978653790837,26.62109177634527,28.32769854884861,111639200
2012-06-01,27.50416374206543,28.923029669879867,27.176733288915752,28.665053874595653,41855500
2012-06-04,26.690542221069336,27.43470233072274,26.234124928880487,26.988207400428912,35230300
2012-06-05,25.66856575012207,27.543848781706195,25.549499289665643,26.492102933079366,42473400
2012-06-06,26.601245880126953,26.958443378960286,25.32129133013623,25.867008048911835,61489200
2012-06-07,26.105140686035156,27.13704379377147,25.946386652921472,26.789768636648773,26159500
2012-06-08,26.888992309570312,27.543853216270392,26.234131402870233,26.34327362565525,38034000
2012-06-11,26.799692153930664,27.851438141707828,26.631015749924167,26.96836855793716,28219600
2012-06-12,27.18665313720703,27.553773013731085,26.750078609245342,27.266030152063948,15816800
2012-06-13,27.057668685913086,27.881206000470698,26.888992277268876,27.444631432362602,17102800
2012-06-14,28.069725036621094,28.099490234890684,27.16680887499747,27.434707014407866,16855000
2012-06-15,29.776330947875977,29.865630325029503,28.12925649092892,28.288010518646903,43563800
2012-06-18,31.165430068969727,31.830215171444156,29.18100280247055,29.726719543758897,42978900
2012-06-19,31.661537170410156,31.929435307996815,30.46095957177691,31.294419182603846,30849000
2012-06-20,31.35395050048828,31.681380916568653,30.90745361833447,31.671458553354427,15553600
2012-06-21,31.592084884643555,32.24694578613135,31.264654433899658,31.423408477139276,21875300
2012-06-22,32.792659759521484,33.18954672606421,31.810370384069905,32.15764364104882,74834000
2012-06-25,31.81036949157715,32.762893642561494,31.30433843418298,32.604139617397436,24352900
2012-06-26,32.84226608276367,33.1796188318341,32.24693948322489,32.435458689913524,24858700
2012-06-27,31.97904396057129,32.643829042572236,31.65161354738274,32.20725263499116,28568000
2012-06-28,31.11581802368164,31.9393533149555,30.659398799394392,31.711144649060472,17713300
2012-06-29,30.85784149169922,31.74091093724958,30.520488736489543,31.671456292205907,19526900
2012-07-02,30.53041648864746,31.482940747394274,30.31212825997821,31.006678618020867,14122000
2012-07-03,30.95706558227539,31.195196623062458,30.56017862179966,30.669322725180216,8763600
2012-07-05,31.22496223449707,31.383716263794057,30.77846723678579,31.07613056859331,10032100
2012-07-06,31.482938766479492,31.651615163248263,31.01659903070577,31.195197791107685,10945600
2012-07-09,31.919509887695312,32.623984424539515,31.740913028315966,31.85005523807602,17785200
2012-07-10,31.22496223449707,32.227098227245115,30.917376539296324,32.1774883027763,14269500
2012-07-11,30.72885513305664,31.31426132031273,30.31212533691667,31.23488430640499,13030300
2012-07-12,30.570104598999023,31.155510853159292,30.36174062336444,30.46096237521317,11300700
2012-07-13,30.48080062866211,30.828075761669574,30.322046606572506,30.798310565338536,8108300
2012-07-16,28.0300350189209,30.262515684144688,27.990345565362656,30.262515684144688,24672100
2012-07-17,27.87128257751465,28.367389420272122,26.938601183231324,28.258245309266304,30438600
2012-07-18,28.88334083557129,29.061939600802855,27.93081471850207,28.089568755930706,16841800
2012-07-19,28.77419662475586,29.270303463113716,28.407076731672188,29.18100408080951,13685100
2012-07-20,28.53606414794922,29.240534914926144,28.49637469445893,28.774195191399052,11869100
2012-07-23,28.526142120361328,28.7741955301036,27.79190425462388,27.901048360509627,12390700
2012-07-24,28.228477478027344,29.220691071033617,27.8812023419757,28.59559544764121,11539800
2012-07-25,29.111549377441406,29.260381050199808,27.861359919775513,28.16894562914253,17230200
2012-07-26,26.64093589782715,28.010189851596582,26.52186943152241,27.533927771372195,64597400
2012-07-27,23.52538299560547,24.34892208107944,22.106519170595156,23.00943337400954,123102300
2012-07-30,22.969745635986328,23.852817072037546,22.850681057696796,23.813127617609467,29285900
2012-07-31,21.540956497192383,23.18803282572797,21.441736650501152,23.18803282572797,56179400
2012-08-01,20.71742057800293,21.411970903368324,20.677733015337775,21.332593885540625,44604400
2012-08-02,19.883960723876953,20.677730817795375,19.6656725286765,20.60827617113966,56374500
2012-08-03,20.925785064697266,21.98745331842821,19.745050345759434,20.201469587805704,80647000
2012-08-06,21.74932289123535,21.977531572417984,21.134149606637266,21.223448984925653,27778900
2012-08-07,20.558664321899414,22.275195222336905,20.340378019573706,22.027141831854298,36782900
2012-08-08,20.558664321899414,20.985316456329045,20.0625575409342,20.548741959180447,29537400
2012-08-09,20.84640884399414,21.005162875302737,20.44952376572265,20.58843306999334,15610700
2012-08-10,21.640178680419922,21.650101043792098,20.965473111090457,21.243293608019442,25794700
2012-08-13,21.43181610107422,22.275198116804656,21.23337260590326,21.977532874048215,24973100
2012-08-14,20.2213134765625,21.43181534807969,20.092326533981456,21.243294223540605,39308800
2012-08-15,21.034929275512695,21.243293225080414,20.241157252523244,20.479288291670898,47861100
2012-08-16,19.715286254882812,20.32053530052271,19.536687493301496,20.2808477382254,157565300
2012-08-17,18.90166664123535,19.923647239604183,18.852056722648268,19.85419259658343,129293400
2012-08-20,19.854196548461914,19.973261133768954,18.604007047753203,18.90167040351827,101186600
2012-08-21,19.010812759399414,19.824427622928415,18.94135810897581,19.42754255443833,70640600
2012-08-22,19.288631439208984,19.377930807781482,18.812367509323284,19.209254432977552,49892200
2012-08-23,19.288631439208984,19.576372377111507,19.209254432977552,19.34816372075828,32813700
2012-08-24,19.258867263793945,19.526765410013017,19.100113227330215,19.368011373549287,29622200
2012-08-27,19.000890731811523,19.377932972911232,18.951280807060293,19.338243519112392,20704000
2012-08-28,19.18941307067871,19.229100634499957,18.802450334058722,18.951282010258915,25417000
2012-08-29,18.951278686523438,19.229097262039776,18.921511599505067,19.169564980500148,16124700
2012-08-30,18.941356658935547,19.298554139480306,18.911589571391104,19.119955399207925,30647500
2012-08-31,17.91937828063965,18.55439631386926,17.88961308185369,18.53455158634703,58764200
2012-09-04,17.591949462890625,18.127745800236355,17.41335068377538,17.939224656448314,46622400
2012-09-05,18.43532943725586,18.604005832503788,18.038444357995246,18.12774373739105,60781800
2012-09-06,18.812368392944336,19.110033599666437,18.574237363064974,18.59408208867922,46066500
2012-09-07,18.832216262817383,19.26879083673604,18.633774651034365,18.951282743885205,36371700
2012-09-10,18.663541793823242,19.05050647818324,18.405565968415814,18.911595253734497,24797800
2012-09-11,19.27871322631836,19.427544908473916,18.703229334152027,18.772683992991453,50508200
2012-09-12,20.767032623291016,20.995241315470665,20.12209410984977,20.598356222006622,121584000
2012-09-13,20.548742294311523,21.31274720365749,20.44952245049804,20.79679568883965,65041600
2012-09-14,21.82870101928711,21.908078038202802,20.737265589823274,20.965474282643715,72819800
2012-09-17,21.352436065673828,22.572858278858973,21.332591340460127,22.49348127050133,50667600
2012-09-18,21.699716567993164,21.808858798739145,21.203609669609666,21.431818388666642,36760500
2012-09-19,23.108659744262695,23.188036770618144,21.60049435101162,21.8187807003647,78782800
2012-09-20,22.414106369018555,23.059044859109267,22.364496443818243,22.840758538731635,57248900
2012-09-21,22.682003021240234,23.059043348556493,22.424027263603968,22.79114522803069,51218100
2012-09-24,20.628124237060547,21.808857206405957,20.201472032802336,21.610415597039978,79106500
2012-09-25,20.122093200683594,21.044850291608512,20.062559019980835,21.03492982065537,46291700
2012-09-26,20.45944595336914,20.618199983313062,19.645829184284892,19.993104334473717,38271900
2012-09-27,20.16178321838379,20.836488875238746,20.003029168829393,20.826566510579404,30215900
2012-09-28,21.491348266601562,21.77909114366239,20.340380543353085,20.40983519850641,65486000
2012-10-01,21.818775177001953,22.41410367021083,21.5607994335282,21.90807454560814,51262700
2012-10-02,22.09659767150879,22.314883985620998,21.650100787532363,21.908076554663488,29341400
2012-10-03,21.66002655029297,22.31488748790623,21.630259455856883,22.126366341472842,32000100
2012-10-04,21.779090881347656,22.225585898740196,21.24329458947974,22.146208880592805,46892100
2012-10-05,20.74718475341797,21.461577813461368,20.71741766622974,21.32266852491054,40529300
2012-10-08,20.241159439086914,20.588434618378333,20.003028374215006,20.241159439086914,32236700
2012-10-09,20.072479248046875,20.389987274694633,19.814503503271293,20.231233261370754,27161800
2012-10-10,19.487075805664062,19.78474104113087,19.298556571615535,19.774818677365573,39321800
