Date,Close,High,Low,Open,Volume
2005-06-02,1425.0699462890625,1425.0699462890625,1425.0699462890625,1425.0699462890625,0
2005-06-03,1404.699951171875,1404.699951171875,1404.699951171875,1404.699951171875,0
2005-06-06,1404.9599609375,1404.9599609375,1404.9599609375,1404.9599609375,0
2005-06-07,1400.47998046875,1400.47998046875,1400.47998046875,1400.47998046875,0
2005-06-08,1393.0400390625,1393.0400390625,1393.0400390625,1393.0400390625,0
2005-06-09,1418.8499755859375,1418.8499755859375,1418.8499755859375,1418.8499755859375,0
2005-06-10,1410.8699951171875,1410.8699951171875,1410.8699951171875,1410.8699951171875,0
2005-06-13,1413.530029296875,1413.530029296875,1413.530029296875,1413.530029296875,0
2005-06-14,1407.969970703125,1407.969970703125,1407.969970703125,1407.969970703125,0
2005-06-15,1407.1500244140625,1407.1500244140625,1407.1500244140625,1407.1500244140625,0
2005-06-16,1417.3399658203125,1417.3399658203125,1417.3399658203125,1417.3399658203125,0
2005-06-17,1417.0799560546875,1417.0799560546875,1417.0799560546875,1417.0799560546875,0
2005-06-20,1415.530029296875,1415.530029296875,1415.530029296875,1415.530029296875,0
2005-06-21,1422.5400390625,1422.5400390625,1422.5400390625,1422.5400390625,0
2005-06-22,1425.9599609375,1425.9599609375,1425.9599609375,1425.9599609375,0
2005-06-23,1412.969970703125,1412.969970703125,1412.969970703125,1412.969970703125,0
2005-06-24,1379.6300048828125,1379.6300048828125,1379.6300048828125,1379.6300048828125,0
2005-06-27,1360.3900146484375,1360.3900146484375,1360.3900146484375,1360.3900146484375,0
2005-06-28,1377.010009765625,1377.010009765625,1377.010009765625,1377.010009765625,0
2005-06-29,1386.4000244140625,1386.4000244140625,1386.4000244140625,1386.4000244140625,0
2005-06-30,1371.9200439453125,1371.9200439453125,1371.9200439453125,1371.9200439453125,0
2005-07-01,1370.8800048828125,1370.8800048828125,1370.8800048828125,1370.8800048828125,0
2005-07-05,1383.5,1383.5,1383.5,1383.5,0
