Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1997-10-09 00:00:00-04:00,2.7948369905759827,3.2485870233186263,2.7948369905759827,3.1302175521850586,10201979,0.0,0.0
1997-10-10 00:00:00-04:00,3.472173162941766,3.4853256916473727,3.1499451791115503,3.274890661239624,10669148,0.0,0.0
1997-10-13 00:00:00-04:00,3.2814667962426243,3.2814667962426243,3.189401695354232,3.2025539875030518,3044363,0.0,0.0
1997-10-14 00:00:00-04:00,3.1762501943518444,3.182826460572157,2.9855439028462767,3.071033239364624,2549907,0.0,0.0
1997-10-15 00:00:00-04:00,2.8803260709387093,2.9921197576712593,2.873750513219004,2.985543727874756,3167153,0.0,0.0
1997-10-16 00:00:00-04:00,2.985543512169224,2.985543512169224,2.880325862835153,2.8934783935546875,1770821,0.0,0.0
1997-10-17 00:00:00-04:00,2.7619573297411915,2.768533596774352,2.637011796687777,2.643587827682495,3287121,0.0,0.0
1997-10-20 00:00:00-04:00,2.209565444534294,2.3673913285368173,2.2029891791704697,2.3147828578948975,11499985,0.0,0.0
1997-10-21 00:00:00-04:00,2.4200004134776543,2.643587827682495,2.40684858752666,2.643587827682495,6924737,0.0,0.0
1997-10-22 00:00:00-04:00,2.4331526782156314,2.4397287084824417,2.3279350137545882,2.3345112800598145,4458573,0.0,0.0
1997-10-23 00:00:00-04:00,2.2621740453137775,2.2621740453137775,2.1043479161935053,2.196413040161133,12494072,0.0,0.0
1997-10-24 00:00:00-04:00,2.2490218577226955,2.2621736789618954,2.0254345236206457,2.0780434608459473,9498638,0.0,0.0
1997-10-27 00:00:00-05:00,2.025434963303887,2.025434963303887,1.7952717866373868,1.8018479347229004,4905042,0.0,0.0
1997-10-28 00:00:00-05:00,1.6571744674454285,2.2095658779144287,1.6440220521572808,2.2095658779144287,10417921,0.0,0.0
1997-10-29 00:00:00-05:00,2.0254343949351337,2.084619357038911,1.9991300460129022,2.005706310272217,7548100,0.0,0.0
1997-10-30 00:00:00-05:00,1.89391273501443,1.972826026265729,1.8873370601471626,1.953097939491272,2797370,0.0,0.0
1997-10-31 00:00:00-05:00,2.0254345236206457,2.124075661317398,2.018858731020224,2.0780434608459473,3611270,0.0,0.0
1997-11-03 00:00:00-05:00,2.2621742502084534,2.4200001575852887,2.2621742502084534,2.387119770050049,6205871,0.0,0.0
1997-11-04 00:00:00-05:00,2.367391679151955,2.4134245993627585,2.3213589949795685,2.387119770050049,3145042,0.0,0.0
1997-11-05 00:00:00-05:00,2.4331526574895843,2.597554828989927,2.4331526574895843,2.577826738357544,3979642,0.0,0.0
1997-11-06 00:00:00-05:00,2.6698922987231284,2.6830441252210213,2.538370493167424,2.5646748542785645,3649848,0.0,0.0
1997-11-07 00:00:00-05:00,2.3805431594923925,2.5186406925785825,2.3673908673652138,2.505488872528076,4470805,0.0,0.0
1997-11-10 00:00:00-05:00,2.6041303140223055,2.6172823716904925,2.512065202229906,2.5186409950256348,2435114,0.0,0.0
1997-11-11 00:00:00-05:00,2.472609250970486,2.5120659071234352,2.4594569535733593,2.4660332202911377,2194707,0.0,0.0
1997-11-12 00:00:00-05:00,2.387118990582199,2.387118990582199,2.3213582369846297,2.3279342651367188,3905309,0.0,0.0
1997-11-13 00:00:00-05:00,2.3542392420332514,2.439728574977362,2.275326411072908,2.308206796646118,2482160,0.0,0.0
1997-11-14 00:00:00-05:00,2.3542392420332514,2.3871196276064612,2.275326411072908,2.308206796646118,2205999,0.0,0.0
1997-11-17 00:00:00-05:00,2.4660330129947754,2.472609043121338,2.4200000939936044,2.472609043121338,3290415,0.0,0.0
1997-11-18 00:00:00-05:00,2.393695681876968,2.393695681876968,2.301630563205631,2.3147828578948975,2240813,0.0,0.0
1997-11-19 00:00:00-05:00,2.288477702800201,2.288477702800201,2.2227169469425,2.2490217685699463,1442908,0.0,0.0
1997-11-20 00:00:00-05:00,2.2029893059032744,2.2358696904603987,2.189837010457387,2.196413040161133,2578134,0.0,0.0
1997-11-21 00:00:00-05:00,2.209565639926488,2.308206796646118,2.209565639926488,2.308206796646118,4223342,0.0,0.0
1997-11-24 00:00:00-05:00,2.1964126247643816,2.2621736174799723,2.1964126247643816,2.2555973529815674,2254927,0.0,0.0
1997-11-25 00:00:00-05:00,2.2687499445016557,2.3476632405604905,2.2687499445016557,2.3147828578948975,1083946,0.0,0.0
1997-11-26 00:00:00-05:00,2.2884778350429116,2.2950540998393785,2.249021898532644,2.2753260135650635,1136637,0.0,0.0
1997-11-28 00:00:00-05:00,2.3147828578948975,2.3147828578948975,2.3082065925310733,2.3147828578948975,1083475,0.0,0.0
1997-12-01 00:00:00-05:00,2.2095658779144287,2.2095658779144287,2.1766852527613088,2.2095658779144287,2365485,0.0,0.0
1997-12-02 00:00:00-05:00,2.2292939697601866,2.249022533682801,2.2029896112607474,2.2095658779144287,2203176,0.0,0.0
1997-12-03 00:00:00-05:00,2.249023075746907,2.249023075746907,2.189837841790975,2.2227182388305664,2783727,0.0,0.0
1997-12-04 00:00:00-05:00,2.3279346805073997,2.3476632405604905,2.3147828578948975,2.3147828578948975,2721625,0.0,0.0
1997-12-05 00:00:00-05:00,2.314783125097552,2.3410874814740974,2.301630828890075,2.3213589191436768,1796226,0.0,0.0
1997-12-08 00:00:00-05:00,2.4068480150525615,2.472608781435285,2.4068480150525615,2.419999837875366,2020166,0.0,0.0
1997-12-09 00:00:00-05:00,2.3673913285368173,2.3673913285368173,2.3147828578948975,2.3147828578948975,1487132,0.0,0.0
1997-12-10 00:00:00-05:00,2.347663986046467,2.347663986046467,2.209566146168167,2.216142177581787,1393980,0.0,0.0
1997-12-11 00:00:00-05:00,2.1175003051757812,2.1240758623602187,2.084619686793037,2.1175003051757812,3128576,0.0,0.0
1997-12-12 00:00:00-05:00,2.11092417843494,2.1438045629375364,2.0977718830108643,2.0977718830108643,2271863,0.0,0.0
1997-12-15 00:00:00-05:00,2.084619531534765,2.084619531534765,1.920217514038086,1.920217514038086,5162855,0.0,0.0
1997-12-16 00:00:00-05:00,1.920218032347901,2.0122830500941995,1.9070656171973714,1.9794026613235474,3736884,0.0,0.0
1997-12-17 00:00:00-05:00,1.985978726819537,2.005706816461319,1.9070654240988012,1.9136415719985962,3310174,0.0,0.0
1997-12-18 00:00:00-05:00,1.9004895278931027,1.9004895278931027,1.8413047790527344,1.8413047790527344,1023256,0.0,0.0
1997-12-19 00:00:00-05:00,1.8281518556703207,1.9794021732097318,1.8150000338590504,1.953097939491272,3056124,0.0,0.0
1997-12-22 00:00:00-05:00,1.9399456647352813,1.9728261657415291,1.9136414291571522,1.933369517326355,1266485,0.0,0.0
1997-12-23 00:00:00-05:00,1.9004892026103952,1.9004892026103952,1.8676087004229842,1.8741849660873413,813430,0.0,0.0
1997-12-24 00:00:00-05:00,1.874185290851764,1.9004895319328952,1.8610328752631562,1.8676090240478516,742860,0.0,0.0
1997-12-26 00:00:00-05:00,1.8676090279074768,1.9004895358604716,1.8676090279074768,1.8939132690429688,292628,0.0,0.0
1997-12-29 00:00:00-05:00,1.920217685103337,1.9333695077794781,1.9004891249547842,1.9070652723312378,951275,0.0,0.0
1997-12-30 00:00:00-05:00,1.920217885275562,1.972826361656189,1.920217885275562,1.972826361656189,1465491,0.0,0.0
