<<<<<<< HEAD
date,1. open,2. high,3. low,4. close,5. volume
2009-07-07,13.240625381469727,13.599859175027474,13.171883770258123,13.599859175027474,30361600
2009-07-08,13.191840171813965,13.37589128739282,12.861433995255002,13.242842308562437,64080400
2009-07-09,13.402503967285156,13.449071881799014,13.249497522182395,13.335979462714606,26616400
2009-07-10,13.273892402648926,13.37811468078315,13.174105205063512,13.27610951997077,16654800
2009-07-13,13.382543563842773,13.398065916603768,13.10535748467532,13.3293243103493,30640000
2009-07-14,13.369236946105957,13.418021112696731,13.225099870590215,13.415803996630867,13291200
2009-07-15,13.892569541931152,13.914744094556509,13.453505955985435,13.526683502278042,36492400
2009-07-16,14.282846450805664,14.35158806356424,13.79278077358155,13.848217994660331,50086000
2009-07-17,14.214103698730469,14.41367804073335,14.19192914779899,14.24736637103258,18075600
2009-07-20,14.883790016174316,14.919268968154395,14.258458049757246,14.271762445273499,32220400
2009-07-21,14.8904390335083,14.901525463467175,14.588860392945358,14.883786837171007,17742800
2009-07-22,14.82391357421875,14.981355089644834,14.706386928323914,14.77291227481261,25328400
2009-07-23,14.899309158325195,15.04344459012832,14.772912352777478,14.901525429225966,19396000
2009-07-24,14.921483039855957,15.00131277575449,14.690863990794611,14.695298224206853,13194800
2009-07-27,15.121058464050293,15.147667250051612,14.881569239179068,14.912613950720536,14245200
2009-07-28,14.701957702636719,15.145455652136343,14.664259091153335,15.014622877292538,22644800
2009-07-29,14.808391571044922,14.832784085883434,14.573338273666392,14.768476700564616,22032400
2009-07-30,14.903739929199219,15.45145985658527,14.819475975681923,15.010180121050576,57776000
